,number,value,datetime_start,datetime_complete,duration,params_epsilon,params_svr_c,state
0,0,8.694245056388475,2020-10-08 13:32:02.567638,2020-10-08 13:32:02.580638,0 days 00:00:00.013000,0.3338288708158184,6.383109471687162,COMPLETE
1,1,8.41394468782849,2020-10-08 13:32:02.584638,2020-10-08 13:32:02.594641,0 days 00:00:00.010003,1.0276461521090985,6.656722716273799,COMPLETE
2,2,9.094268296313457,2020-10-08 13:32:02.597637,2020-10-08 13:32:02.606641,0 days 00:00:00.009004,0.80096914804629,5.0764927833849764,COMPLETE
3,3,7.988638418063714,2020-10-08 13:32:02.611639,2020-10-08 13:32:02.624638,0 days 00:00:00.012999,0.39880655761409634,21.291442351047795,COMPLETE
4,4,12.472398958309006,2020-10-08 13:32:02.628638,2020-10-08 13:32:02.636646,0 days 00:00:00.008008,4.340099572400526,74.06570365971795,COMPLETE
5,5,10.559670827030912,2020-10-08 13:32:02.640637,2020-10-08 13:32:02.649637,0 days 00:00:00.009000,0.4240851326361922,2.7276814305626833,COMPLETE
6,6,7.817393127778079,2020-10-08 13:32:02.654648,2020-10-08 13:32:02.670647,0 days 00:00:00.015999,0.6491573946223089,26.387797186583636,COMPLETE
7,7,8.40037584153872,2020-10-08 13:32:02.673638,2020-10-08 13:32:02.682638,0 days 00:00:00.009000,1.791984960171082,9.293657556574066,COMPLETE
8,8,8.661554263998466,2020-10-08 13:32:02.687651,2020-10-08 13:32:02.706639,0 days 00:00:00.018988,0.2936351204650266,40.073562233444534,COMPLETE
9,9,7.931280015499359,2020-10-08 13:32:02.711639,2020-10-08 13:32:02.725637,0 days 00:00:00.013998,0.9826871449862141,35.65394745520173,COMPLETE
10,10,15.147126541220205,2020-10-08 13:32:02.729640,2020-10-08 13:32:02.748637,0 days 00:00:00.018997,0.14018352341105325,1.1156374809995595,COMPLETE
11,11,7.987631735096471,2020-10-08 13:32:02.753640,2020-10-08 13:32:02.775638,0 days 00:00:00.021998,1.880876919272696,23.482923404401657,COMPLETE
12,12,20.43791373589505,2020-10-08 13:32:02.779638,2020-10-08 13:32:02.797639,0 days 00:00:00.018001,7.548660686264491,98.79321361093713,COMPLETE
13,13,7.96934877059831,2020-10-08 13:32:02.804638,2020-10-08 13:32:02.835636,0 days 00:00:00.030998,0.9564312668118305,37.468251521390556,COMPLETE
14,14,7.977265066861348,2020-10-08 13:32:02.838638,2020-10-08 13:32:02.863636,0 days 00:00:00.024998,0.14163415530208376,17.671909691060637,COMPLETE
15,15,8.824595145736922,2020-10-08 13:32:02.867636,2020-10-08 13:32:02.886638,0 days 00:00:00.019002,2.289405570017737,49.50931542207859,COMPLETE
16,16,7.737052352955435,2020-10-08 13:32:02.891637,2020-10-08 13:32:02.911636,0 days 00:00:00.019999,0.6620717143593636,13.291444524877662,COMPLETE
17,17,7.790442103196739,2020-10-08 13:32:02.916640,2020-10-08 13:32:02.942636,0 days 00:00:00.025996,0.5474947266033577,13.614018413457663,COMPLETE
18,18,7.9278043953390505,2020-10-08 13:32:02.945635,2020-10-08 13:32:02.969638,0 days 00:00:00.024003,0.2328677704725726,12.743882865140257,COMPLETE
19,19,11.301971372243761,2020-10-08 13:32:02.972637,2020-10-08 13:32:02.987638,0 days 00:00:00.015001,0.5365538476358805,2.2565780086278533,COMPLETE
20,20,7.923651876538205,2020-10-08 13:32:02.991639,2020-10-08 13:32:03.015637,0 days 00:00:00.023998,0.19432656863971315,12.302258362880028,COMPLETE
21,21,7.738899554560376,2020-10-08 13:32:03.019638,2020-10-08 13:32:03.044635,0 days 00:00:00.024997,0.6484705179198993,17.58134186527141,COMPLETE
22,22,7.519823404202979,2020-10-08 13:32:03.049638,2020-10-08 13:32:03.069642,0 days 00:00:00.020004,1.3301789174186938,15.471690387561912,COMPLETE
23,23,8.029473432926405,2020-10-08 13:32:03.073638,2020-10-08 13:32:03.089638,0 days 00:00:00.016000,1.3934470113350252,8.858977475534093,COMPLETE
24,24,10.372684487693563,2020-10-08 13:32:03.094640,2020-10-08 13:32:03.113638,0 days 00:00:00.018998,1.302352436261375,3.51177943495375,COMPLETE
25,25,9.877943668320022,2020-10-08 13:32:03.116637,2020-10-08 13:32:03.136638,0 days 00:00:00.020001,3.7905023169768293,16.785347875994876,COMPLETE
26,26,8.685576338392137,2020-10-08 13:32:03.139639,2020-10-08 13:32:03.162635,0 days 00:00:00.022996,2.628967799886761,29.618696184695487,COMPLETE
27,27,8.482048664785665,2020-10-08 13:32:03.166640,2020-10-08 13:32:03.193638,0 days 00:00:00.026998,0.7857721647994602,59.13675535041863,COMPLETE
28,28,7.60311202669254,2020-10-08 13:32:03.196637,2020-10-08 13:32:03.223635,0 days 00:00:00.026998,1.1998333616777581,16.890689845319528,COMPLETE
29,29,10.010253805464858,2020-10-08 13:32:03.227640,2020-10-08 13:32:03.240639,0 days 00:00:00.012999,3.359047555254744,6.544098862529167,COMPLETE
30,30,20.507036984019948,2020-10-08 13:32:03.244641,2020-10-08 13:32:03.256638,0 days 00:00:00.011997,6.731921476331773,4.921928427939371,COMPLETE
31,31,7.457348295537219,2020-10-08 13:32:03.260639,2020-10-08 13:32:03.280638,0 days 00:00:00.019999,1.431920235929426,16.642639524193154,COMPLETE
32,32,8.115667812475268,2020-10-08 13:32:03.285637,2020-10-08 13:32:03.306636,0 days 00:00:00.020999,1.336366195219325,8.209172039900118,COMPLETE
33,33,7.811468053593444,2020-10-08 13:32:03.310637,2020-10-08 13:32:03.329638,0 days 00:00:00.019001,1.4849848688035387,11.625537675272621,COMPLETE
34,34,7.657812631780821,2020-10-08 13:32:03.333637,2020-10-08 13:32:03.363636,0 days 00:00:00.029999,0.9880332659904848,20.68780651324604,COMPLETE
35,35,7.658345713921623,2020-10-08 13:32:03.367637,2020-10-08 13:32:03.396638,0 days 00:00:00.029001,1.0997320971372073,21.67190450984946,COMPLETE
36,36,8.684459733932927,2020-10-08 13:32:03.399638,2020-10-08 13:32:03.422637,0 days 00:00:00.022999,2.5908062274291543,29.789888679378485,COMPLETE
37,37,7.903988776846412,2020-10-08 13:32:03.426640,2020-10-08 13:32:03.448637,0 days 00:00:00.021997,1.884381069175116,20.333818216577146,COMPLETE
38,38,8.958578651682256,2020-10-08 13:32:03.453638,2020-10-08 13:32:03.477636,0 days 00:00:00.023998,0.858115115455668,5.439375178531159,COMPLETE
39,39,7.617058011007481,2020-10-08 13:32:03.481639,2020-10-08 13:32:03.502636,0 days 00:00:00.020997,1.1637137440750078,15.456253363276765,COMPLETE
40,40,8.566518406583253,2020-10-08 13:32:03.506637,2020-10-08 13:32:03.526637,0 days 00:00:00.020000,1.6639611649158974,7.846243723453446,COMPLETE
41,41,7.592772416259182,2020-10-08 13:32:03.529636,2020-10-08 13:32:03.553636,0 days 00:00:00.024000,1.1948935849617468,16.00115166955802,COMPLETE
42,42,7.780056584450382,2020-10-08 13:32:03.558638,2020-10-08 13:32:03.587636,0 days 00:00:00.028998,1.2033382019939256,10.380913669184999,COMPLETE
43,43,8.130892209489105,2020-10-08 13:32:03.591638,2020-10-08 13:32:03.614671,0 days 00:00:00.023033,2.262303673664201,15.63508202099548,COMPLETE
44,44,8.12651079132929,2020-10-08 13:32:03.618637,2020-10-08 13:32:03.640638,0 days 00:00:00.022001,0.4169678268765471,27.954544404280426,COMPLETE
45,45,13.04916565627985,2020-10-08 13:32:03.644643,2020-10-08 13:32:03.659637,0 days 00:00:00.014994,5.305324877349079,15.128192639807944,COMPLETE
46,46,8.230638153805474,2020-10-08 13:32:03.661637,2020-10-08 13:32:03.677635,0 days 00:00:00.015998,1.7201013247137078,10.033447767582814,COMPLETE
47,47,7.711310437065153,2020-10-08 13:32:03.680639,2020-10-08 13:32:03.704634,0 days 00:00:00.023995,0.7887640492092982,24.965799198052537,COMPLETE
48,48,8.099221445472825,2020-10-08 13:32:03.707638,2020-10-08 13:32:03.731636,0 days 00:00:00.023998,1.1125194984047406,47.381495298249305,COMPLETE
49,49,9.103562547039758,2020-10-08 13:32:03.734640,2020-10-08 13:32:03.758634,0 days 00:00:00.023994,3.0090438621380144,32.2351454662308,COMPLETE
50,50,8.079050170204589,2020-10-08 13:32:03.762639,2020-10-08 13:32:03.786644,0 days 00:00:00.024005,2.0411298043096036,20.468520948073866,COMPLETE
51,51,7.633807695207113,2020-10-08 13:32:03.789637,2020-10-08 13:32:03.814634,0 days 00:00:00.024997,0.9660381934944309,18.357200655083776,COMPLETE
52,52,7.483091584222183,2020-10-08 13:32:03.818639,2020-10-08 13:32:03.838639,0 days 00:00:00.020000,1.5307858660557379,15.083932448822665,COMPLETE
53,53,7.499765227606817,2020-10-08 13:32:03.843637,2020-10-08 13:32:03.861635,0 days 00:00:00.017998,1.5375138529907426,14.805898876835796,COMPLETE
54,54,7.9118329194728485,2020-10-08 13:32:03.864638,2020-10-08 13:32:03.882634,0 days 00:00:00.017996,1.5265924750581088,10.726525399222945,COMPLETE
55,55,8.219828251230458,2020-10-08 13:32:03.886637,2020-10-08 13:32:03.903642,0 days 00:00:00.017005,2.3467691747415733,14.23143240460362,COMPLETE
56,56,8.183175763142618,2020-10-08 13:32:03.907639,2020-10-08 13:32:03.928638,0 days 00:00:00.020999,0.5224186921002044,7.896016417566876,COMPLETE
57,57,8.1070626545169,2020-10-08 13:32:03.932637,2020-10-08 13:32:03.955635,0 days 00:00:00.022998,1.9615642604011896,24.265666966254525,COMPLETE
58,58,7.744586776086685,2020-10-08 13:32:03.959636,2020-10-08 13:32:03.977634,0 days 00:00:00.017998,0.7182918902951272,11.895870212677117,COMPLETE
59,59,8.155081688352842,2020-10-08 13:32:03.981639,2020-10-08 13:32:04.005635,0 days 00:00:00.023996,1.5314736700175906,40.327740680262615,COMPLETE
60,60,7.533398499844602,2020-10-08 13:32:04.009637,2020-10-08 13:32:04.035636,0 days 00:00:00.025999,1.3204218669702257,18.015132707051936,COMPLETE
61,61,7.552039430229125,2020-10-08 13:32:04.039637,2020-10-08 13:32:04.057638,0 days 00:00:00.018001,1.3040250481076872,18.47156329072553,COMPLETE
62,62,7.625216702624718,2020-10-08 13:32:04.062637,2020-10-08 13:32:04.086642,0 days 00:00:00.024005,0.8630987008006102,13.248641100519526,COMPLETE
63,63,7.706091003032669,2020-10-08 13:32:04.089638,2020-10-08 13:32:04.109637,0 days 00:00:00.019999,1.332023939420592,24.137821354922018,COMPLETE
64,64,7.71661839457624,2020-10-08 13:32:04.114637,2020-10-08 13:32:04.136641,0 days 00:00:00.022004,1.714783292648441,19.028148791531386,COMPLETE
65,65,8.401358506445813,2020-10-08 13:32:04.141641,2020-10-08 13:32:04.159635,0 days 00:00:00.017994,2.1303412799485026,9.165824068050346,COMPLETE
66,66,7.660314437112738,2020-10-08 13:32:04.163636,2020-10-08 13:32:04.190636,0 days 00:00:00.027000,1.0197130015936013,13.786260454221718,COMPLETE
67,67,8.56260852898503,2020-10-08 13:32:04.194638,2020-10-08 13:32:04.211634,0 days 00:00:00.016996,2.7884638352586877,16.73891903473171,COMPLETE
68,68,7.811435952907589,2020-10-08 13:32:04.216637,2020-10-08 13:32:04.238635,0 days 00:00:00.021998,1.429993145594529,11.14989264330207,COMPLETE
69,69,7.6630492483132935,2020-10-08 13:32:04.243637,2020-10-08 13:32:04.263635,0 days 00:00:00.019998,1.2221006197560278,22.331875706165565,COMPLETE
70,70,8.120266588461249,2020-10-08 13:32:04.267639,2020-10-08 13:32:04.291636,0 days 00:00:00.023997,0.6050839159411127,32.824654015725734,COMPLETE
71,71,7.583674762860368,2020-10-08 13:32:04.295636,2020-10-08 13:32:04.318635,0 days 00:00:00.022999,0.9046108472783276,17.018530689956172,COMPLETE
72,72,7.603521513979485,2020-10-08 13:32:04.322636,2020-10-08 13:32:04.342635,0 days 00:00:00.019999,0.8787669291711764,18.653333618246606,COMPLETE
73,73,7.7242916467492275,2020-10-08 13:32:04.347636,2020-10-08 13:32:04.367638,0 days 00:00:00.020002,1.6033623271550206,12.853657935639045,COMPLETE
74,74,7.670152840037151,2020-10-08 13:32:04.371640,2020-10-08 13:32:04.394635,0 days 00:00:00.022995,1.0862909779114207,14.731101068228847,COMPLETE
75,75,7.756890861777067,2020-10-08 13:32:04.398638,2020-10-08 13:32:04.422633,0 days 00:00:00.023995,0.7319358232917789,25.756291175057004,COMPLETE
76,76,7.4605439310429205,2020-10-08 13:32:04.426638,2020-10-08 13:32:04.446636,0 days 00:00:00.019998,1.403973392732973,16.792877333148873,COMPLETE
77,77,7.881263979796288,2020-10-08 13:32:04.450636,2020-10-08 13:32:04.471640,0 days 00:00:00.021004,1.828382113422343,21.626055422588273,COMPLETE
78,78,7.53849408551289,2020-10-08 13:32:04.475637,2020-10-08 13:32:04.496635,0 days 00:00:00.020998,1.3400726140287569,19.377372638113734,COMPLETE
79,79,7.523430744372778,2020-10-08 13:32:04.500636,2020-10-08 13:32:04.523634,0 days 00:00:00.022998,1.349552678098196,18.64477720772444,COMPLETE
80,80,8.528210469251027,2020-10-08 13:32:04.526637,2020-10-08 13:32:04.551637,0 days 00:00:00.025000,2.3823273123454087,27.871368240043047,COMPLETE
81,81,7.528883619388521,2020-10-08 13:32:04.556638,2020-10-08 13:32:04.573637,0 days 00:00:00.016999,1.3598461580976637,19.16292978629911,COMPLETE
82,82,15.749769729763672,2020-10-08 13:32:04.577637,2020-10-08 13:32:04.597635,0 days 00:00:00.019998,1.4181648298455098,1.0316578754936778,COMPLETE
83,83,7.818017765986783,2020-10-08 13:32:04.601638,2020-10-08 13:32:04.623638,0 days 00:00:00.022000,1.6088262609104482,12.124043631225293,COMPLETE
84,84,7.96313570736284,2020-10-08 13:32:04.628638,2020-10-08 13:32:04.648635,0 days 00:00:00.019997,1.9583172760036467,19.789301232867224,COMPLETE
85,85,7.669656918986001,2020-10-08 13:32:04.652640,2020-10-08 13:32:04.676636,0 days 00:00:00.023996,1.0516366794714647,14.454387464325135,COMPLETE
86,86,7.656052020799299,2020-10-08 13:32:04.681637,2020-10-08 13:32:04.708637,0 days 00:00:00.027000,1.4586008051296966,22.791028447976004,COMPLETE
87,87,7.749849304077248,2020-10-08 13:32:04.711636,2020-10-08 13:32:04.729637,0 days 00:00:00.018001,1.7888273334084421,15.667514837590934,COMPLETE
88,88,7.8527545573969455,2020-10-08 13:32:04.732637,2020-10-08 13:32:04.758637,0 days 00:00:00.026000,1.299967393292954,9.75171071912755,COMPLETE
89,89,8.084315122511534,2020-10-08 13:32:04.762640,2020-10-08 13:32:04.782633,0 days 00:00:00.019993,2.137983856323623,17.51353014401959,COMPLETE
90,90,9.366239757609003,2020-10-08 13:32:04.785637,2020-10-08 13:32:04.810635,0 days 00:00:00.024998,3.3086928687635133,27.12956542510074,COMPLETE
91,91,7.610987713750463,2020-10-08 13:32:04.814639,2020-10-08 13:32:04.842636,0 days 00:00:00.027997,1.213831544423921,19.84431017449842,COMPLETE
92,92,7.543457745444854,2020-10-08 13:32:04.845636,2020-10-08 13:32:04.866635,0 days 00:00:00.020999,1.2981036325923276,17.77910455750342,COMPLETE
93,93,7.761515103608565,2020-10-08 13:32:04.869639,2020-10-08 13:32:04.893637,0 days 00:00:00.023998,1.6374578391388976,12.752988701987986,COMPLETE
94,94,7.641871181748258,2020-10-08 13:32:04.896636,2020-10-08 13:32:04.921633,0 days 00:00:00.024997,1.1040720496822085,16.04702998906576,COMPLETE
95,95,7.780225889605802,2020-10-08 13:32:04.924638,2020-10-08 13:32:04.947634,0 days 00:00:00.022996,1.3715606697329903,11.017667447319146,COMPLETE
96,96,7.6748921533722,2020-10-08 13:32:04.951641,2020-10-08 13:32:04.977635,0 days 00:00:00.025994,1.0108546468526274,22.53420679018699,COMPLETE
97,97,7.986767462221692,2020-10-08 13:32:04.980639,2020-10-08 13:32:05.002635,0 days 00:00:00.021996,1.5377929618934891,31.726851738199652,COMPLETE
98,98,7.852998257748685,2020-10-08 13:32:05.005636,2020-10-08 13:32:05.029633,0 days 00:00:00.023997,1.8944928582223044,13.950710404351673,COMPLETE
99,99,7.558352833736628,2020-10-08 13:32:05.032637,2020-10-08 13:32:05.059635,0 days 00:00:00.026998,1.2786383820567728,17.813037116857988,COMPLETE
